0.0 -2.5 -0.75 # volume corner 1
3.5 2.5 0.75 # volume corner 2
0.1 # resolution
0.00028472006871589796 2.7426949600339865e-17 3.27690941048786e-16
0.0008409427488486859 -3.4432900974934452e-18 -2.279193722642958e-16
0.0013411495619545036 -2.2384938347386195e-17 4.22733137384057e-16
0.001712684509365401 -4.0142822399502616e-17 9.922587196342647e-17
0.0019603060887112564 -3.1263880373444405e-18 -1.3360477169044315e-16
0.0035930965558952947 1.1100382835138589e-16 -3.978129825554788e-16
0.03271879834511201 1.6830767890496644e-16 2.15550244320184e-17
-0.9334793801800361 -3.386560365470359e-16 -1.1407109923311508e-15
-0.5244844212894425 -8.681581675773486e-16 -3.305103746242821e-16
0.004290192949984035 -3.027992079296382e-16 5.4569682106375696e-18
-0.002040609740479099 1.783291736501269e-16 6.862137524876743e-17
-0.0025798074733158253 7.194103091023862e-17 2.83580448012799e-16
-0.001989632376974728 -6.949107955733779e-17 -7.003109203651548e-17
-0.0011973076219308567 -3.7238123695715327e-17 2.974047674797475e-16
-0.00039484473856962466 -4.189359970041551e-18 -8.949427865445613e-17
0.00039484473856959485 -2.6989255275111645e-17 1.8189894035458564e-19
0.0011973076219308632 -7.412666036543669e-17 -3.7462086766026913e-16
0.001989632376973568 -6.06064531893935e-17 -6.275513442233205e-17
0.0025798074733149674 8.240021998062729e-17 -2.834894985426217e-16
0.002040609740478992 1.2223040357639547e-16 -2.0927473087795077e-16
-0.004290192949983313 -6.964910426177084e-16 -1.150510797742754e-16
0.5244844212894424 -5.692982085747644e-16 6.131813279353082e-16
-1.3750637514322568 1.8989112504641525e-16 -7.28960003471002e-17
-0.9355778291691244 1.1627662388491443e-15 -8.315510058309882e-16
-0.06382141387476534 -2.033232249232242e-16 -2.97723090625368e-16
-0.0009952804853033744 3.7795189200551246e-17 5.765741661889478e-16
-0.004021037066192873 8.403162610193248e-17 -3.2832758734002706e-17
-0.0027834469139092375 6.231744009710382e-17 1.558873918838799e-16
-0.0015235179493729386 5.5138116294983774e-18 4.128196451347321e-16
-0.00047635738488024254 2.518163455533795e-18 -8.094502845779061e-17
0.00047635738488044116 5.172751116333529e-19 -9.295035852119326e-17
0.0015235179493727092 -1.3861267689208034e-17 -4.161847755312919e-16
0.002783446913909234 1.4908891898812725e-16 -2.473825588822365e-16
0.004021037066193235 1.250327841262333e-16 -3.16504156216979e-17
0.0009952804853039156 7.923972589196636e-17 -3.8826328818686304e-16
0.06382141387476829 -2.3450184016837736e-16 -1.6934791347011924e-16
0.9355778291691178 2.735259840846993e-15 2.343858795939013e-15
-1.7129652693193047 2.173521806980716e-16 6.821210263296961e-18
-1.2952426565285253 -1.2205987331981305e-16 -5.161382432561367e-16
-1.0123154324418042 -7.363723852904513e-16 7.34871719032526e-16
-0.0003846037132222346 7.592007023049518e-17 -5.253241397440433e-16
-0.005366791271160523 3.548166205291636e-17 -7.084963726811111e-17
-0.003338699990750324 1.0186340659856796e-16 -4.0445229387842116e-16
-0.0014876950404565353 -7.809148883097804e-17 3.380591806489974e-16
-0.0004220894630332446 1.9349499780219047e-17 3.3651303965598343e-17
0.0004220894630326093 -1.6507328837178648e-17 -1.153239281848073e-16
0.0014876950404563842 -5.528022484213579e-17 -3.2323441701009866e-16
0.003338699990750498 2.513047547836322e-17 5.482434062287212e-16
0.005366791271159379 1.2079226507921702e-16 -2.0572770154103636e-16
0.0003846037132229983 -5.225047061685473e-17 2.6302586775273083e-16
1.0123154324417887 -1.0790017768158577e-15 -1.6462763596791772e-15
1.295242656528533 -3.5190623748349025e-16 8.477400115225464e-16
-1.950963942306901 -4.644107320928015e-16 3.930381353711709e-16
-1.5875524290233063 2.176818725274643e-16 4.2941792344208803e-16
0.05234714167918814 -1.271985183848301e-16 6.310074240900576e-16
-0.054958328803358526 -1.7722072698234113e-16 -4.1745806811377405e-16
-0.010636426617049569 1.3237126950116362e-16 -5.056790541857481e-16
-0.0018203516460661609 -1.0754774848464877e-16 1.4397301129065454e-16
-0.00048379527637593383 3.057607500522863e-17 1.532498572487384e-16
-0.00011532068508377546 -3.693116923386697e-17 -4.634785000234843e-16
0.00011532068508422644 -1.3605472304334398e-17 3.106833901256323e-16
0.0004837952763759403 -1.702744611975504e-17 -1.8080754671245812e-16
0.0018203516460660997 -2.0002062228741124e-16 -2.9212969820946455e-16
0.010636426617048838 4.079083737451583e-17 6.737536750733852e-16
0.05495832880335851 -3.4286813388462176e-16 5.28962118551135e-16
-0.052347141679176264 -5.293486537993886e-16 3.6925484891980884e-17
1.587552429023295 2.0213519746903328e-16 -3.992681740783155e-16
-2.0571675505566556 1.5108412299014162e-16 8.860752132022753e-17
-1.6637279167176617 1.1502265806484503e-16 6.511527317343279e-16
-1.1789288003984575 6.956497600185684e-17 2.780780050670728e-16
0.44173783551851453 -5.911715561524033e-19 5.0340531743131575e-17
0.020458401153739973 1.2566943041747434e-16 -4.103640094399452e-16
0.0034980688470846078 7.545395419583655e-17 -1.2933014659211038e-16
0.0011614712997613864 2.5414692572667262e-17 -9.213181328959763e-17
0.0003109465362877552 8.185452315956354e-18 5.356923793442547e-17
-0.0003109465362873783 -1.7905676941154525e-18 -7.021299097687005e-17
-0.0011614712997616303 -1.6349588349839906e-17 2.455635694786906e-17
-0.003498068847086158 -6.298250809777528e-17 1.2096279533579946e-16
-0.020458401153741007 1.9765593606280161e-16 5.456968210637569e-19
-0.4417378355185232 -5.785523171653039e-17 -1.1768861440941692e-15
1.1789288003984615 -2.2180302039487287e-17 1.6825651982799172e-17
1.6637279167176555 -1.0538769856793805e-17 -8.767528925091027e-16
-2.099920627394561 2.7032456273445857e-16 7.566995918750762e-17
-2.2983160465319417 -2.6636826078174633e-17 -1.1748852557502686e-15
-0.8007044071907489 -1.8858372641261667e-16 -1.060243448591791e-15
-0.17198903143102304 -1.1254996934439987e-18 -3.624336386565119e-17
-0.002985867281485561 2.823412614816334e-17 8.640199666842818e-17
0.003283594613500971 3.22131654684199e-17 -1.723492459859699e-16
0.0017623944445463796 4.3189629650441926e-17 1.1332303984090685e-16
