0.0 -2.5 -0.75 # volume corner 1
3.5 2.5 0.75 # volume corner 2
0.1 # resolution
-1.0877556633204221e-16 -0.7656858523383295 0.27861767327256126
-1.2078089639544487e-16 -0.25340789982577877 0.3889820638394819
-1.16779119707644e-16 0.1419026855940976 0.5698377949396055
-9.185896487906575e-17 0.2526026265664211 0.7071006477018303
-1.0677467798814177e-16 0.20635859699528047 0.7568066791793214
-6.348273018375039e-17 0.044142199631722036 -0.6701673485815625
-3.965396899729967e-17 0.10031429719178693 -0.7003420798874721
-6.311893230304121e-17 0.10888019315241503 -0.7408617843278417
-9.677023626863956e-17 -0.04270135329435028 -0.8438949654218943
-1.5279510989785194e-16 -0.5313649760160633 -0.9213122902217599
-1.353328116238117e-16 -1.1464677675835802 -0.750143877795153
-1.7062120605260132e-16 -1.502260706162202 -0.4181652365434273
-1.356966095045209e-16 -1.6123463533482012 -0.12906723299830805
-1.2696546036750079e-16 -1.612346353348201 0.1290672329983085
-1.302396412938833e-16 -1.5022607061622002 0.4181652365434279
-7.930793799459933e-17 -1.1464677675835795 0.7501438777951538
-1.113221514970064e-16 -0.5313649760160617 0.9213122902217594
-8.203642209991812e-17 -0.04270135329435079 0.8438949654218941
-9.858922567218541e-17 0.1088801931524151 0.7408617843278414
-7.22138793207705e-17 0.10031429719178732 0.7003420798874723
-6.948539521545172e-17 -0.000467528156616647 -0.6150849041788812
-5.966285243630409e-17 0.03905495039322947 -0.6623056787219614
-7.457856554538012e-17 0.08609753967321114 -0.7365193263404254
-1.924490788951516e-16 0.17628017936699822 -1.127322788202989
-3.758032107725739e-16 -0.846461693103096 -1.8295706893913957
-1.291482476517558e-16 -2.1770287621194675 -1.4423960424198976
-1.367880031466484e-16 -2.2556040855936086 -0.49512843391394806
-7.912603905424476e-17 -2.1856353829517 -0.14164991866923035
-1.6243575373664499e-16 -2.1856353829516997 0.14164991866923043
-1.2478267308324576e-16 -2.255604085593607 0.49512843391394923
-1.3278622645884751e-17 -2.1770287621194684 1.4423960424198967
-8.294591680169105e-17 -0.8464616931030947 1.829570689391396
-8.221832104027271e-17 0.17628017936699825 1.1273227882029873
-5.966285243630409e-17 0.0860975396732111 0.7365193263404255
-7.239577826112508e-17 0.03905495039322934 0.6623056787219613
