0.0 -2.5 -0.75 # volume corner 1
3.5 2.5 0.75 # volume corner 2
0.1 # resolution
-4.798572650344112e-18 -0.08731938450188766 -0.027623734258808298
-4.779465712090314e-18 -0.08999613355127378 -0.023706074006483134
-5.001066227805495e-18 -0.0922256102667271 -0.019613187105002386
-4.996736358009457e-18 -0.09400596072937924 -0.015385046258439799
-5.238121048023458e-18 -0.0953382002947304 -0.011057055796702056
-5.199141117628869e-18 -0.09622452038078629 -0.006660718912669472
-5.4389936998688876e-18 -0.09666704964091646 -0.002224592196293308
-5.19981835367389e-18 -0.09666704964091649 0.002224592196293317
-5.355915710936187e-18 -0.09622452038078627 0.006660718912669476
-5.151012949511369e-18 -0.09533820029473042 0.011057055796702056
-5.27898835755991e-18 -0.09400596072937925 0.015385046258439795
-5.101319366929147e-18 -0.09222561026672704 0.019613187105002417
-5.146405523959174e-18 -0.08999613355127377 0.023706074006483127
-4.626710126132139e-18 -0.08731938450188764 0.02762373425880824
-4.967948274980926e-18 -0.09240501281912011 -0.03483265147889895
-5.192224428185455e-18 -0.09584602947111619 -0.030666989439443414
-5.014233472877549e-18 -0.09878184278923792 -0.02627452468310536
-5.20141707482935e-18 -0.10121309664872928 -0.021706343497304357
-5.5366489171149165e-18 -0.10314516118094857 -0.017006013574905846
-5.425271343284521e-18 -0.10458534057215259 -0.012210356400521647
-5.449785067668245e-18 -0.10554078170768774 -0.007350674031083086
-5.645184320002272e-18 -0.10601701023084861 -0.0024542188648947194
-5.51934054016101e-18 -0.10601701023084849 0.0024542188648947255
-5.673250758064796e-18 -0.10554078170768771 0.007350674031083089
-5.184486173703817e-18 -0.10458534057215259 0.012210356400521644
-5.486033849422256e-18 -0.10314516118094853 0.017006013574905887
-5.465405905624721e-18 -0.10121309664872917 0.021706343497304374
-5.3157478419052494e-18 -0.09878184278923789 0.026274524683105396
-4.886147042526545e-18 -0.0958460294711162 0.030666989439443362
-5.17200726690703e-18 -0.10160001477774983 -0.038709182570848766
-5.0436210763393775e-18 -0.10536991747889507 -0.034001417156638465
-5.4693027884411546e-18 -0.10856061228465791 -0.029069542525706316
-5.475075948169206e-18 -0.1111844356611282 -0.02397075862795267
-5.910505418427192e-18 -0.1132572945849818 -0.018751166045111782
-6.133826779830542e-18 -0.11479525388006907 -0.013447457170849893
-5.5300652945788895e-18 -0.11581214414440283 -0.008088931732543226
-5.863265428729392e-18 -0.1163179746055721 -0.0026996155096170923
-5.7616023063644656e-18 -0.1163179746055721 0.0026996155096171044
-5.860778529154231e-18 -0.11581214414440269 0.0080889317325432
-5.651368262249434e-18 -0.11479525388006914 0.013447457170849945
-5.783051815200224e-18 -0.11325729458498174 0.01875116604511178
-5.486400223020382e-18 -0.111184435661128 0.02397075862795269
-5.633127297954843e-18 -0.10856061228465796 0.029069542525706288
-5.434408478777186e-18 -0.10536991747889507 0.03400141715663845
-5.214617626592144e-18 -0.11192234507231812 -0.042954695833706744
-5.353339993519057e-18 -0.11600937369585221 -0.037618880556304836
-5.32320854063073e-18 -0.11943459896992614 -0.032076566527396565
-5.957956350499671e-18 -0.1222274773449856 -0.0263896671650975
-5.909128741876657e-18 -0.12441842895175118 -0.020604658553980176
-6.104761141045855e-18 -0.12603506367058356 -0.01475563022587943
-5.97866200990893e-18 -0.1270997454283557 -0.008867318391673405
-6.038880506764598e-18 -0.1276280861956958 -0.0029579708346114033
-6.123368478938573e-18 -0.12762808619569568 0.0029579708346114163
-6.096034788072302e-18 -0.1270997454283557 0.008867318391673384
-5.981226625095814e-18 -0.12603506367058348 0.014755630225879399
-5.950240300478526e-18 -0.1244184289517513 0.020604658553980186
-5.605926833851526e-18 -0.12222747734498565 0.026389667165097472
-5.774025702010022e-18 -0.1194345989699261 0.0320765665273965
-5.3891002771422335e-18 -0.11600937369585214 0.03761888055630485
-5.394074076292554e-18 -0.123521627053334 -0.04755166200742476
-5.693856497401839e-18 -0.12788827338680678 -0.04149069720672746
-5.733369334848248e-18 -0.13150462908346888 -0.035262766309970765
-6.327238732950491e-18 -0.13442369803641907 -0.028931091803087467
-6.190925549987014e-18 -0.13669470975490494 -0.022538798072431813
-6.373257477321203e-18 -0.1383595971949012 -0.016113729786922527
-5.954570170274564e-18 -0.13945098111946413 -0.009672641287521237
-6.406364327915525e-18 -0.13999106380429804 -0.0032248070484423843
-6.274170072373408e-18 -0.1399910638042981 0.0032248070484423973
-6.720823897410355e-18 -0.13945098111946408 0.00967264128752126
-6.157274690110625e-18 -0.1383595971949013 0.01611372978692251
-6.160871812710411e-18 -0.13669470975490491 0.0225387980724318
-6.200095992170418e-18 -0.13442369803641901 0.02893109180308751
-5.893407983847964e-18 -0.1315046290834689 0.03526276630997079
-5.70158364965323e-18 -0.12788827338680678 0.041490697206727496
-5.556266557960043e-18 -0.13655760607898065 -0.05244967096842119
-6.052747192342167e-18 -0.14112931669772927 -0.045558919525090516
-5.793565627243424e-18 -0.1448625040753194 -0.03857081182473473
-6.147315989579738e-18 -0.14784026998772737 -0.031543541905580244
-6.308231714768908e-18 -0.1501345310955711 -0.024511181500181212
-6.828249077273085e-18 -0.15180376736745438 -0.01749039742527079
-6.349765158120135e-18 -0.15289207981895855 -0.010485708312064
-6.3718474940799296e-18 -0.1534288873268129 -0.003493668831645594
-6.345501901705574e-18 -0.15342888732681273 0.0034936688316456166
-6.660549889403455e-18 -0.1528920798189587 0.010485708312064024
-6.290179488388503e-18 -0.15180376736745435 0.01749039742527077
-6.548472875067546e-18 -0.15013453109557104 0.024511181500181185
-5.974765127092496e-18 -0.14784026998772773 0.03154354190558025
-6.16641182560329e-18 -0.14486250407531945 0.03857081182473471
-5.539624314820912e-18 -0.14112931669772913 0.04555891952509053
-5.696332294746753e-18 -0.1511896789554382 -0.057550804293670293
-6.0538241086760536e-18 -0.15584241818478578 -0.04972662512544332
-5.740041775226245e-18 -0.15957961770868087 -0.04191261550562037
-6.3680283268752186e-18 -0.1625194066479733 -0.03415208051790592
-6.5098260115803435e-18 -0.16475869007766278 -0.02646229605346223
-6.579614630908281e-18 -0.16637342119179022 -0.01884266874806697
-6.639444549705331e-18 -0.1674194429725802 -0.011280611244248652
-6.694977905397081e-18 -0.16793338966251534 -0.003755903428164163
-6.5821459394044266e-18 -0.1679333896625153 0.003755903428164172
-6.590561429931085e-18 -0.16741944297258018 0.011280611244248678
-6.475275871054009e-18 -0.16637342119179 0.018842668748066976
-6.758693604780319e-18 -0.16475869007766278 0.026462296053462172
-6.5687899564181855e-18 -0.1625194066479732 0.03415208051790588
-6.3812843897892436e-18 -0.1595796177086808 0.04191261550562039
-6.013367581658713e-18 -0.1558424181847857 0.04972662512544332
-6.145162156911965e-18 -0.1675572355955988 -0.06269422969638067
-6.2802651967786e-18 -0.17210696500473768 -0.0538491224263694
-6.2557847790856155e-18 -0.17569157328354382 -0.04516447033656912
-6.3366201175085734e-18 -0.17846512688520558 -0.03665575686990464
-6.6095351414219295e-18 -0.18054888176654207 -0.028314250591882778
-6.978462252504868e-18 -0.1820351088415708 -0.020115403430384596
-6.598532831247894e-18 -0.18299024412789433 -0.012024504452349146
-6.709965916229521e-18 -0.18345726409728363 -0.004000605710467551
-6.597589141676962e-18 -0.18345726409728355 0.004000605710467558
-6.890210624277415e-18 -0.1829902441278942 0.012024504452349156
-6.668399166187555e-18 -0.1820351088415708 0.020115403430384596
-6.830958021453171e-18 -0.18054888176654213 0.02831425059188279
-6.493983129018943e-18 -0.17846512688520552 0.036655756869904604
-6.611733383010687e-18 -0.1756915732835438 0.04516447033656916
-6.016426246091555e-18 -0.17210696500473766 0.05384912242636946
-6.034106547758711e-18 -0.18574918775040766 -0.06764501409497291
-6.064149182805067e-18 -0.18994805075158971 -0.05772920248723591
-6.4799721144481735e-18 -0.19317950601134806 -0.04816552348512253
-6.7901795297586886e-18 -0.1956283145811663 -0.038927605537276436
-6.804967700446696e-18 -0.1974354279119803 -0.02997137622426462
-6.76642075703171e-18 -0.19870563631381222 -0.02124197697009921
-6.405265207121146e-18 -0.1995131167628007 -0.012678110478133553
-6.888289938444813e-18 -0.19990529632649293 -0.004214800477525752
-6.987732614760488e-18 -0.19990529632649284 0.004214800477525771
-7.232903165288463e-18 -0.1995131167628007 0.012678110478133586
-6.5075278499193696e-18 -0.19870563631381233 0.021241976970099184
-6.890987780394653e-18 -0.19743542791198038 0.029971376224264594
-6.6479599603042056e-18 -0.1956283145811664 0.03892760553727651
-6.49317821732609e-18 -0.19317950601134792 0.048165523485122555
-6.164840860023446e-18 -0.18994805075158974 0.05772920248723598
-6.454353718154948e-18 -0.20576541721834182 -0.07209390309016647
-6.5765282108998235e-18 -0.2093092415378859 -0.061119949282618234
-6.159689425189185e-18 -0.21195024383655112 -0.05072149990706674
-6.592371093461224e-18 -0.21389182446360858 -0.040818286761179434
-6.577915989680605e-18 -0.2152856986710039 -0.031323305737108925
-6.980138689272053e-18 -0.2162426571762272 -0.02214657331229902
-6.8523409169074506e-18 -0.21684005863106381 -0.013197123276891041
-6.714684364084178e-18 -0.21712688784899575 -0.00438391396302332
-6.924993911638921e-18 -0.21712688784899534 0.004383913963023309
-6.5933813964136335e-18 -0.21684005863106368 0.013197123276891033
-6.783373862617736e-18 -0.2162426571762274 0.022146573312299
-6.885847447790638e-18 -0.21528569867100375 0.03132330573710887
-6.641043270860791e-18 -0.21389182446360866 0.04081828676117947
-6.666600604887662e-18 -0.2119502438365512 0.05072149990706677
-5.951633630374431e-18 -0.2093092415378859 0.06111994928261811
-6.129324825465687e-18 -0.227478268867398 -0.07567281006246923
-6.227518500878659e-18 -0.2300269354056989 -0.06373731269268275
-6.263523033567253e-18 -0.2318187206829287 -0.05261474764221809
-6.555828102605687e-18 -0.23305808715273374 -0.042163892902611744
-6.464606627787361e-18 -0.23389509409527373 -0.0322507844812852
-6.885009229407046e-18 -0.2344378110858018 -0.022748194759792062
-6.8315020307352365e-18 -0.2347608524879337 -0.013534557772102721
-6.822103992831785e-18 -0.23491107505123343 -0.00449254762348888
-6.848149824989491e-18 -0.2349110750512337 0.004492547623488893
-6.999212320835113e-18 -0.23476085248793363 0.013534557772102728
-6.5736749377265365e-18 -0.23443781108580203 0.022748194759792048
-6.866518464931914e-18 -0.23389509409527387 0.03225078448128519
-6.416345232906906e-18 -0.23305808715273368 0.04216389290261179
-6.363370941286916e-18 -0.23181872068292866 0.05261474764221805
-6.377559591541626e-18 -0.23002693540569888 0.06373731269268276
-6.105627115005063e-18 -0.2506042447720743 -0.07798521304183914
-6.033828992002554e-18 -0.2518123103998704 -0.06528198302423718
-6.053513246229158e-18 -0.2524964978584754 -0.053620219449427034
-6.245221007006307e-18 -0.2528418589291964 -0.042797592732912386
-6.730438428803609e-18 -0.2529825170708125 -0.03263395155386516
-6.587730361218291e-18 -0.25301391639539195 -0.022966201249955152
